Seconds,lpg2-27-L1,lpg2-27-L2,lpg2-27-C1,lpg2-27-P1,lpg2-27-P2,lpg2-02-L1,lpg2-02-L2,lpg2-02-C1,lpg2-02-P1,lpg2-02-P2,lpg2-08-L1,lpg2-08-L2,lpg2-08-C1,lpg2-08-P1,lpg2-08-P2,lpg2-10-L1,lpg2-10-L2,lpg2-10-C1,lpg2-10-P1,lpg2-10-P2,lpg2-28-L1,lpg2-28-L2,lpg2-28-C1,lpg2-28-P1,lpg2-28-P2,lpgs-27-L1,lpgs-27-L2,lpgs-27-C1,lpgs-27-P1,lpgs-27-P2,lpgs-02-L1,lpgs-02-L2,lpgs-02-C1,lpgs-02-P1,lpgs-02-P2,lpgs-08-L1,lpgs-08-L2,lpgs-08-C1,lpgs-08-P1,lpgs-08-P2,lpgs-10-L1,lpgs-10-L2,lpgs-10-C1,lpgs-10-P1,lpgs-10-P2,lpgs-28-L1,lpgs-28-L2,lpgs-28-C1,lpgs-28-P1,lpgs-28-P2
9210,-21046332.988,-16399737.640,19857545.496,19857546.090,19857545.248,-896011.674,-698191.610,24177973.316,24177970.564,24177972.970,-15329706.414,-11945223.708,20724841.223,20724842.628,20724841.334,,,,,,,,,,,-22450762.541,-17494098.013,19857533.445,19857531.497,19857533.219,-1461199.851,-1138597.527,24177964.021,24177960.440,24177962.746,-15714694.139,-12245214.414,20724832.099,20724829.528,20724831.251,-4686541.096,-3651849.703,23401846.057,23401843.922,23401845.195,-4477054.559,-3488613.562,23527569.561,23527567.484,23527569.478
9240,-21041502.506,-16395973.626,19858464.815,19858465.412,19858464.589,-852538.521,-664316.427,24186246.323,24186243.492,24186244.689,-15357211.715,-11966656.403,20719607.327,20719608.673,20719607.313,-4017044.162,-3130163.901,23383811.637,23383813.088,23383811.296,-3999077.690,-3116163.776,23505213.688,23505212.560,23505213.610,-22445932.390,-17490334.260,19858452.998,19858450.522,19858452.528,-1417726.891,-1104722.473,24186236.252,24186232.173,24186235.705,-15742199.806,-12266647.397,20719597.637,20719595.120,20719597.174,-4781383.870,-3725753.149,23383798.439,23383797.079,23383798.116,-4594553.096,-3580170.847,23505211.118,23505207.378,23505209.691
9270,-21036239.059,-16391872.243,19859466.644,19859467.125,19859466.055,-808744.666,-630191.354,24194578.329,24194576.628,24194578.488,-15384306.402,-11987769.144,20714452.432,20714452.741,20714451.585,-4111623.980,-3203862.453,23365814.769,23365815.264,23365813.756,-4116467.982,-3207636.730,23482875.313,23482874.933,23482875.837,-22440675.646,-17486238.095,19859452.933,19859450.680,19859452.718,-1373939.542,-1070602.485,24194567.437,24194564.424,24194568.204,-15769301.220,-12287765.381,20714440.108,20714438.151,20714439.738,-4875970.263,-3799456.828,23365798.033,23365797.645,23365798.132,-4711950.059,-3671648.997,23482872.130,23482867.321,23482871.022
9300,-21030537.952,-16387429.828,19860551.646,19860552.070,19860551.114,-764626.630,-595813.666,24202974.865,24202972.305,24202973.675,-15410985.233,-12008557.831,20709375.382,20709375.859,20709374.788,-4205932.602,-3277349.674,23347868.507,23347869.107,23347866.324,-4233741.459,-3299018.667,23460559.926,23460559.438,23460559.231,-22434990.782,-17481808.335,19860535.511,19860532.702,19860534.753,-1329837.531,-1036237.269,24202960.894,24202957.067,24202960.566,-15795996.328,-12308566.752,20709359.806,20709358.397,20709359.807,-4970294.980,-3872956.605,23347849.414,23347848.105,23347849.229,-4829239.765,-3763043.544,23460552.191,23460547.315,23460551.220
9330,-21024438.616,-16382677.095,19861712.776,19861712.443,19861711.970,-720224.870,-561214.915,24211424.225,24211422.099,24211422.576,-15437287.579,-12029053.156,20704369.683,20704370.699,20704369.507,-4300005.702,-3350653.381,23329966.561,23329966.890,23329965.855,-4350933.679,-3390337.278,23438258.321,23438257.667,23438258.912,-22428885.323,-17477050.832,19861697.225,19861694.431,19861696.508,-1285429.438,-1001633.601,24211412.387,24211407.931,24211411.016,-15822292.584,-12329057.332,20704355.975,20704354.515,20704355.778,-5064361.827,-3946255.451,23329948.780,23329948.244,23329949.510,-4946425.799,-3854357.355,23438252.156,23438247.774,23438251.606
9360,-21017914.772,-16377593.582,19862953.762,19862954.035,19862953.134,-675514.506,-526375.668,24219932.040,24219930.793,24219930.853,-15463186.175,-12049233.878,20699441.349,20699442.369,20699440.904,-4393812.903,-3423749.885,23312115.369,23312116.155,23312115.321,-4468014.183,-3481568.795,23415980.374,23415978.288,23415979.201,-22422360.297,-17471966.396,19862938.351,19862936.080,19862938.020,-1240717.656,-966793.237,24219919.173,24219915.440,24219918.293,-15848190.042,-12349237.162,20699428.197,20699426.028,20699427.789,-5158167.713,-4019350.936,23312099.439,23312096.721,23312098.439,-5063505.082,-3945587.938,23415971.972,23415968.271,23415972.747
9390,-21010969.000,-16372181.293,19864274.976,19864275.698,19864274.827,-630499.397,-491298.944,24228497.634,24228496.242,24228496.491,-15488683.096,-12069101.602,20694589.580,20694590.265,20694589.155,-4487353.077,-3496638.315,23294316.375,23294316.337,23294315.336,-4584981.464,-3572712.140,23393721.254,23393720.378,23393719.775,-22415413.690,-17466553.457,19864259.858,19864257.907,19864260.084,-1195701.497,-931715.752,24228486.982,24228482.076,24228485.591,-15873686.173,-12369104.273,20694576.811,20694574.669,20694576.292,-5251706.946,-4092238.653,23294299.161,23294297.124,23294298.638,-5180471.511,-4036730.608,23393715.339,23393710.500,23393714.940
9420,-21003603.823,-16366442.197,19865676.829,19865677.135,19865676.595,-585182.955,-455987.480,24237119.135,24237118.667,24237120.173,-15513780.293,-12088657.845,20689813.314,20689814.408,20689812.966,-4580624.507,-3569317.338,23276567.803,23276567.122,23276567.175,-4701833.696,-3663765.790,23371485.424,23371483.516,23371484.917,-22408054.132,-17460818.740,19865661.136,19865658.418,19865660.422,-1150390.524,-896408.455,24237106.518,24237103.467,24237107.704,-15898789.024,-12388664.923,20689799.285,20689797.726,20689798.908,-5344983.875,-4164921.951,23276548.582,23276546.994,23276547.835,-5297329.306,-4127788.655,23371478.120,23371473.905,23371476.886
9450,-20995829.862,-16360384.566,19867155.763,19867156.608,19867155.471,-539577.289,-420450.591,24245801.699,24245797.900,24245800.338,-15538488.467,-12107910.957,20685111.982,20685112.392,20685111.550,-4673634.143,-3641792.407,23258868.958,23258866.978,23258868.176,-4818577.342,-3754734.887,23349269.843,23349268.034,23349269.070,-22400275.969,-17454757.833,19867141.110,19867138.591,19867140.583,-1104780.466,-860868.164,24245786.799,24245783.704,24245787.281,-15923493.035,-12407914.791,20685098.523,20685096.526,20685098.088,-5437989.171,-4237393.609,23258849.883,23258848.678,23258850.346,-5414068.742,-4218754.441,23349261.142,23349259.198,23349260.198
9480,-20987636.952,-16354000.480,19868715.261,19868715.938,19868714.903,-493673.718,-384681.577,24254533.846,24254531.926,24254532.860,-15562797.200,-12126852.823,20680486.271,20680487.066,20680485.935,-4766368.044,-3714052.588,23241221.244,23241221.036,23241220.411,-4935198.308,-3845608.365,23327076.683,23327075.952,23327076.051,-22392070.980,-17448364.332,19868702.220,19868699.920,19868701.920,-1058864.546,-825089.558,24254524.138,24254520.348,24254524.135,-15947789.727,-12426847.275,20680475.443,20680472.690,20680474.923,-5530710.832,-4309644.267,23241206.494,23241204.305,23241205.460,-5530677.610,-4309618.465,23327069.590,23327068.125,23327069.693
